,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,bidPlus,campaignBudget,campaignId,campaignName,campaignStatus,clicks,cost,impressions
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,68300183683763,Test,archived,0,0.0,0
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,106810506927584,first blood,archived,0,0.0,0
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,138039218212413,Manual 2 Superfly Lightning,archived,0,0.0,0
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,60605358192329,Manual Lightning,archived,0,0.0,0
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,161678115463443,The Ultimate Manual Campaign,archived,0,0.0,0
5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,155863437166744,Superfly Lightning,archived,0,0.0,0
6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,208077248910211,Manual - 1st Lightning,archived,0,0.0,0
7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,1,220960574767492,Boom Shakalaka,archived,0,0.0,0
8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,25,94362250450342,Ad group2,archived,0,0.0,0
9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,21239270175585,qwe,archived,0,0.0,0
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,25,218056837233524,xsuperfly plus type c 6ft red,archived,0,0.0,0
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,25,225185986192028,xSuperfly Plus Type-C 6ft blue,archived,0,0.0,0
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,500,244889089683724,自动,archived,0,0.0,0
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,161216724945618,手动,archived,0,0.0,0
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,227775677788741,手动-苹果-塑料头,archived,0,0.0,0
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,263420599147843,自动-Type C-塑料头,paused,0,0.0,0
16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,200,236170549884416,ignite ad campaign MANUAL,archived,0,0.0,0
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,150,66640352282605,自动-苹果-塑料头,paused,0,0.0,0
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,200,60048273766767,自动-Type C-金属头,paused,0,0.0,0
19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,118678522301649,手动-苹果-金属头,archived,0,0.0,0
20,28,15,25,12,28,15,27,14,630.71,353.84,576.74,299.87,630.71,353.84,612.72,335.85,29,26,29,28,False,600,163882395108605,lightning auto,enabled,201,374.47,235453
21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,200,109512855099778,手动-type c-塑料头-test,archived,0,0.0,0
22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,50,197630616114606,手动-type c-金属头,paused,0,0.0,0
23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,20,30327910784110,自动 Micro B 塑料头,archived,0,0.0,0
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,30,157495890296470,自动 - micro b - 塑料头,archived,0,0.0,0
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,100,97734274882911,母亲节促销-手动广告,archived,0,0.0,0
26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,10,48275355591164,micro b 6ft auto,paused,0,0.0,0
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,50,182501285727992,type c blue manual,paused,0,0.0,0
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,157057615348077,usb c cable,paused,0,0.0,0
29,87,58,74,52,87,58,84,56,1991.11,1305.41,1709.24,1187.47,1991.11,1305.41,1937.14,1269.43,89,76,89,86,True,1500,109119336754127,lightning manual,enabled,445,1031.08,186468
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,50,41095695787234,micro b 6ft manual,paused,0,0.0,0
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,66151653693576,micro usb black 6ft manual,paused,0,0.0,0
32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,30,42569182075455,type c 塑料头 6ft,paused,0,0.0,0
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,20,9337278538408,type c 金属头-6ft,paused,0,0.0,0
34,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,True,30,174450195659085,iphone x/xs/xr/xs max protector auto,enabled,6,5.31,959
35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,266220536803884,iphone x case auto,paused,0,0.0,0
36,5,5,4,4,5,5,5,5,74.95,74.95,59.96,59.96,74.95,74.95,74.95,74.95,5,4,5,5,False,100,176612412977,iphone x/xs/xr/xs max protector manual,enabled,17,16.4,3947
37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,1523267124044,lightning blue new manual,paused,0,0.0,0
38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,50,230151726409685,lightning blue new auto,paused,0,0.0,0
39,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,100,11157487649763,Lightning Cable Manual New,paused,0,0.0,0
