,adGroupId,adGroupName,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions
29,201683984754953,自动-苹果塑料头-black-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66640352282605,自动-苹果-塑料头,0,0.0,0
30,152258914426013,自动-Type C金属头-blue-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60048273766767,自动-Type C-金属头,0,0.0,0
31,53336948436584,手动-type c-金属头-blue-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,197630616114606,手动-type c-金属头,0,0.0,0
32,253529765204004,ignite ad campaign,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,236170549884416,ignite ad campaign MANUAL,0,0.0,0
33,153606536351737,自动-苹果塑料头-black-3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66640352282605,自动-苹果-塑料头,0,0.0,0
34,168812183340124,自动-Type C金属头-red-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60048273766767,自动-Type C-金属头,0,0.0,0
35,115785831453646,自动-苹果塑料头-red-3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66640352282605,自动-苹果-塑料头,0,0.0,0
36,104393843857484,手动-苹果-金属头-black-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,227775677788741,手动-苹果-塑料头,0,0.0,0
37,233437006364505,手动-type c-塑料头-6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109512855099778,手动-type c-塑料头-test,0,0.0,0
38,251347995801130,(B07BBMDGG6)lightning 6ft red,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0
39,154127508155637,自动-苹果金属头-red-3ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0
40,103647886360936,手动-type c 金属头 red 6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,197630616114606,手动-type c-金属头,0,0.0,0
41,11951526338803,自动 - Micro B - 红色 - 6ft,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157495890296470,自动 - micro b - 塑料头,0,0.0,0
