,adGroupId,adGroupName,adId,asin,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,currency,impressions,sku
0,107738979491806,Ad Group 1,31890659894725,B079K3JVX4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68300183683763,Test,0,0.0,USD,0,0113MI3FTR
1,46240070597498,Ad Group 1,6602553589157,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106810506927584,first blood,0,0.0,USD,0,0113LA3FTG
2,260563022891161,Ad Group 1,134526445777552,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155863437166744,Superfly Lightning,0,0.0,USD,0,0113LA3FTG
3,107738979491806,Ad Group 1,219601056349318,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68300183683763,Test,0,0.0,USD,0,0113LA3FTG
4,221081040070778,Manual,95913684614140,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60605358192329,Manual Lightning,0,0.0,USD,0,0113LA3FTG
5,157253884615720,Ad Group 1,52674096146719,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161678115463443,The Ultimate Manual Campaign,0,0.0,USD,0,0113LA3FTG
6,101200892867376,Ad Group 1,178670483530033,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138039218212413,Manual 2 Superfly Lightning,0,0.0,USD,0,0113LA3FTG
7,132773845984951,Ad Group 1,215644460461577,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208077248910211,Manual - 1st Lightning,0,0.0,USD,0,0113LA3FTG
8,5911516908486,广告组 1,210346406104138,B07B4L7GPV,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21239270175585,qwe,0,0.0,USD,0,0114TY6FTG1
9,102780898118332,Ad Group Type-C Plus,51320718412530,B07B4L7GPV,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,225185986192028,xSuperfly Plus Type-C 6ft blue,0,0.0,USD,0,0114TY6FTG1
10,135041803802207,Ad Group 1,235028571587419,B079M27L28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220960574767492,Boom Shakalaka,0,0.0,USD,0,0113LA3FTG
11,238124916527065,Ad Group 1,108811946971936,B07BBMCVFL,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,218056837233524,xsuperfly plus type c 6ft red,0,0.0,USD,0,0114TY6FTR
12,56095296220583,xSuperfly Plus type c 金属头,167934504685021,B07B4L7GPV,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244889089683724,自动,0,0.0,USD,0,0114TY6FTG1
13,111331890299671,广告组 1,204082407749231,B07B4L7GPV,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,94362250450342,Ad group2,0,0.0,USD,0,0114TY6FTG1
14,111331890299671,广告组 1,17791459288517,B07BBMCVFL,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,94362250450342,Ad group2,0,0.0,USD,0,0114TY6FTR
15,187134168701270,xSuperfly Type-C 塑料头,186689142005651,B07BBN56LY,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244889089683724,自动,0,0.0,USD,0,0113TY6FTG
16,187134168701270,xSuperfly Type-C 塑料头,10812756534022,B07BBF2TYF,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244889089683724,自动,0,0.0,USD,0,0113TY6FTR
17,9695827044606,xSuperfly Type-C,202324304015825,B07BBN56LY,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161216724945618,手动,0,0.0,USD,0,0113TY6FTG
18,9695827044606,xSuperfly Type-C,65863909928518,B07BBMDGG6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161216724945618,手动,0,0.0,USD,0,0114LA6FTR
19,56095296220583,xSuperfly Plus type c 金属头,161937725537024,B07BBMDGG6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244889089683724,自动,0,0.0,USD,0,0114LA6FTR
