,attributedConversions14d,attributedConversions14dSameSKU,attributedSales14d,attributedSales14dSameSKU,campaignId,campaignName,clicks,cost,impressions,keywordId,keywordText,matchType
266,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144192069634672227,phone charger cord,EXACT
267,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144308830667837244,small portable charger,EXACT
268,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144393084672080098,micro usb charging cable,EXACT
269,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144373987416739211,iphone 7 charger cable,BROAD
270,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144160861701229677,charger cord iphone 6,EXACT
271,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144386136855217502,fast charging cord for iphone,EXACT
272,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144380543102121456,long braided apple charger,EXACT
273,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144117578857159642,certified iphone xr charger cable,EXACT
274,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144358305095912306,apple iphone cable,BROAD
275,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144185679915019919,usb c cable 6 feet,BROAD
276,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144302945033256321,long iphone cord,PHRASE
277,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144254628895606579,fast charger for samsung galaxy 9,EXACT
278,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144137359470274363,portable iphone 7 charger,EXACT
279,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144150655316716874,gift portable charger,PHRASE
280,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144391021970582789,apple iphone xs charger cable,EXACT
281,0,0,0.0,0.0,144363125977934804,Lightning Headline 2 Pack,0,0.0,0,144165708046172132,apple mfi certified lightning cable 6ft,EXACT
282,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144133592785373511,apple charging cable 6ft,EXACT
283,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144315351032034870,pocket charger iphone,BROAD
284,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144336827578925792,apple charger cable 6ft,EXACT
285,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144272643201794338,apple charging cord,BROAD
286,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144194315673348751,apple iphone charger cable apple certified,EXACT
287,0,0,0.0,0.0,144377002898337630,Leather Case Headline,0,0.0,0,144187071053533808,leather phone case iphone x,EXACT
288,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144141269195281616,portable charger women,BROAD
289,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144363829545147794,charger cable for kindle fire,EXACT
290,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144206396269510376,smallest portable charger,BROAD
291,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144320011600943478,certified apple ipad 6 ft charging cable,EXACT
292,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144161130570899169,iphone 7 plus braided charger,EXACT
293,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144269599886200126,rapid charger for iphone 6,EXACT
294,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144174258275790321,fast charger for iphone x,EXACT
295,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144221367819286824,charging cable iphone xr,EXACT
296,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144129575719455422,tablet charger,EXACT
297,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144147489868644087,iphone portable charger,EXACT
298,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144163771697730761,iphone 7 long charging cord,EXACT
299,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144310367414621633,ipad charger cable,BROAD
300,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144208271512284285,iphone charger braided 3ft single,EXACT
301,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144210950568433154,usb c cord 6ft,BROAD
302,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144260021763204424,s9 plus charger cable fast charging,EXACT
303,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144284340719715771,usb type c cable 6foot,BROAD
304,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144344916755374809,unbreakable usb c cable,BROAD
305,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144259069017540470,type c cord 6ft,BROAD
306,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144374106656299778,usb charger cable,EXACT
307,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144276723532880079,apple charger 6ft,EXACT
308,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144182118418734376,iphone x charger cable,EXACT
309,0,0,0.0,0.0,144246044711029553,Lightning 1 pack/2 pack/10ft,0,0.0,0,144334645706451546,iphone 10 charger cable,BROAD
310,0,0,0.0,0.0,144247026959826085,headline-3350,0,0.0,0,144340635538659990,portablee charger,EXACT
311,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144331474212017379,type c cable 6 ft,BROAD
312,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144223153900461874,iphone charging cable 6ft,EXACT
313,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144139405036795748,iphone 6 phone 6ft charger,EXACT
314,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144213608349143711,kevlar tablet charger,EXACT
315,0,0,0.0,0.0,144218053269835734,Type C headline,0,0.0,0,144229694325431807,usb c cord 2pack,BROAD
316,0,0,0.0,0.0,144385662719164127,Headline portable charger,0,0.0,0,144264002973305267,portable iphone 6 charger,EXACT
317,0,0,0.0,0.0,144128619076132074,Lightning headline,0,0.0,0,144212259784416339,lightning cable iphone,EXACT
318,0,0,0.0,0.0,144234234208353843,Micro USB Headline,0,0.0,0,144194635474245932,kindle charger cable,EXACT
319,0,0,0.0,0.0,144387653378870452,Lightning Headline 1 Pack,0,0.0,0,144386008108023469,iphone charger 7 plus,EXACT
