,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions,targetId,targetingExpression,targetingText,targetingType
24,2,0,1,0,2,0,2,0,53.98,0.0,25.99,0.0,53.98,0.0,53.98,0.0,2,1,2,2,32520377991508,Advertise Catalog,17,31.7,2284,271218186745758,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32520377991508,Advertise Catalog,0,0.0,117,141778480043955,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,2,2.25,986,67509757897443,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,18,137162501738216,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118189475990222,type c cable 10ft auto,0,0.0,0,109172826519742,complements,complements,TARGETING_EXPRESSION_PREDEFINED
29,2,2,1,1,2,2,2,2,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,2,1,2,2,118189475990222,type c cable 10ft auto,29,35.91,24921,7947182467991,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
30,8,6,6,4,8,6,8,6,142.92,107.94,106.94,71.96,142.92,107.94,142.92,107.94,8,6,8,8,163882395108605,lightning auto,25,53.68,20917,194655513068552,close-match,close-match,TARGETING_EXPRESSION_PREDEFINED
31,1,1,0,0,1,1,0,0,17.99,17.99,0.0,0.0,17.99,17.99,0.0,0.0,1,0,1,0,163882395108605,lightning auto,2,4.21,498,230803135861962,loose-match,loose-match,TARGETING_EXPRESSION_PREDEFINED
32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,0,0.0,0,35338216738264,complements,complements,TARGETING_EXPRESSION_PREDEFINED
33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163882395108605,lightning auto,2,2.34,1270,43272709322375,substitutes,substitutes,TARGETING_EXPRESSION_PREDEFINED
